CATALOGUENUMBER;SPECIESSUMMARY;SAMPLING;TypeOfSample;NESTCOLLECTION;BDM;PLOT;COMMUNEEXTRACT;NUMBERWORKERS;X;Y;ALTITUDE;HABITAT;NUMBERQUEENS;NUMBERMALES;NUMBERLARVAE;NUMBERCOCOONS;IDENTIFIER;GENUSID;SPECISID;DATEIDENTIFICATION;CONFIRMEDID;SPECIESIDFINAL;COMMENTS;slope25;topo;south;gt_ch_100;LU18_46cl;LC18_27cl;SampleDate;SoilTemp;SoilTempAnomaly;TypeOfOpen;mixedForest;Grass;Forb;Shrub;Bare;Litter;Moss;bio1_tmean_8110;bio2_dr_8110;bio1_tmean_8110_8111;bio2_dr_8110_8111;bio5_tmaxw_8110;bio6_tminc_8110;bio7_tar_8110;bio8_twetq_8110;bio9_tdryq_8110;bio10_twarmq_8110;bio11_tcoldq_8110;bio12_p_8110;bio13_pwet_8110;bio14_pdry_8110;bio15_ps_8110;bio16_pwetq_8110;bio17_pdryq_8110;bio18_pwarmq_8110;bio19_pcoldq_8110
16273;Apha_subt;public;NA;oui;NA;NA;Aigle;4;564327;128378;479;lisiere;NA;NA;NA;NA;Anne Freitag;Apha;Apha_subt;2019;oui;Apha_subt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17079;Apha_subt;public;NA;oui;NA;NA;Ollon;10;564497;127114;430;Carriere;NA;NA;NA;NA;Tanja Schwander;Apha;Apha_subt;2019;;; zone échantillonnée par différents étudiants du cours bioindication, 1 épinglé;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17094;Apha_subt;public;NA;oui;NA;NA;Ollon;NA;564497;127114;430;Carriere;NA;NA;NA;NA;Tanja Schwander;Apha;Apha_subt;2019;;; zone échantillonnée par différents étudiants du cours bioindication;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17106;Apha_subt;public;NA;oui;NA;NA;Ollon;NA;564497;127114;430;Carriere;NA;NA;NA;NA;Tanja Schwander;Apha;Apha_subt;2019;;; zone échantillonnée par différents étudiants du cours bioindication;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17112;Apha_subt;public;NA;oui;NA;NA;Ollon;6;564497;127114;430;Carriere;NA;NA;NA;NA;Tanja Schwander;Apha;Apha_subt;2019;;; zone échantillonnée par différents étudiants du cours bioindication, 1 épinglé;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17209;Apha_subt;public;NA;oui;NA;NA;Ollon;2;564497;127114;430;Carriere;NA;NA;NA;NA;Tanja Schwander;Apha;Apha_subt;2019;;; zone échantillonnée par différents étudiants du cours bioindication, 1 épinglé;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17266;Apha_subt;public;NA;NA;NA;NA;Essertines-sur-Rolle;NA;514277;147743;657;lisiere;NA;NA;NA;NA;Tanja Schwander;Apha;Apha_subt;2019;oui;Apha_subt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17346;Apha_subt;public;NA;oui;NA;NA;Ollon;6;564497;127114;430;Carriere;NA;NA;NA;NA;Tanja Schwander;Apha;Apha_subt;2019;;; zone échantillonnée par différents étudiants du cours bioindication, 1 épinglé;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
18762;Apha_subt;public;NA;oui;NA;NA;Onnens (VD);10;542490;188381;476;Autre;NA;NA;NA;NA;Anne Freitag;Apha;Apha_subt;2019;oui;Apha_subt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
19904;Tetr;public;NA;oui;NA;NA;Mont-sur-Rolle;NA;515152;147334;501;lisiere;NA;NA;NA;NA;Anne Freitag;Apha;Apha_subt;2019;;;échantillon perdu ?;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
